Sl No,Street Address - A location,City,State,Postal Code - A location,"COUNTRY NAME
(spelled out)",Street Address - Z location,City,State,Postal Code - Z location,"COUNTRY NAME
(spelled out)",GLM ID A location,GLM ID Z location,Floor/Room,Phone Number        (Required for EMEA/LATM for Offnet - ROC),Site Contact Name        (Required for EMEA/LATM for Offnet - ROC),GPS Coordinates                    (Required for EMEA/LATM for Offnet - ROC),A Loc Building Extension,Z Loc Building Extension,Access Bandwidth,Encrypted Wave? (Only available on 10GB and above OnNet Waves in NA and EU),A Access Service Type,Z Access Service Type,Circuit Protection                                                                             (Required),Latency Guarantee Level,Diversity Required,Custom Route,Term Length,Number of Circuits with the Same Configuration,Telecom Service Priority ,Z Loc 3rd Party X-Connect,A Loc 3rd Party X-Connect
85,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,1950 N STEMMONS FWY,DALLAS,TEXAS,75207,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
86,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
87,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
88,6378 CENTER DR,NORFOLK,VIRGINIA,23502,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
89,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
90,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
91,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
92,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,36 NE 2ND ST,MIAMI,FLORIDA,33132,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
93,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,1950 N STEMMONS FWY,DALLAS,TEXAS,75207,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
94,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
95,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
96,7025 A C SKINNER PKWY,JACKSONVILLE,FLORIDA,32256,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
97,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
98,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
99,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
100,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,36 NE 2ND ST,MIAMI,FLORIDA,33132,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
101,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,1950 N STEMMONS FWY,DALLAS,TEXAS,75207,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
102,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
103,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
104,7477 ALTA VIEW BLVD,COLUMBUS,OHIO,43085,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
105,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,55 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
106,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,56 MARIETTA ST NW,ATLANTA,GEORGIA,30303,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
107,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,421 W CHURCH ST,JACKSONVILLE,FLORIDA,32202,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
108,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,36 NE 2ND ST,MIAMI,FLORIDA,33132,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
109,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,1950 N STEMMONS FWY,DALLAS,TEXAS,75207,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
110,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,624 S GRAND AVE,ANGELES,CALIFORNIA,90017,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
111,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,350 E CERMAK RD,CHICAGO,ILLINOIS,60616,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
112,950 22ND ST N,BIRMINGHAM,ALABAMA,35203,US,21715 FILIGREE CT,ASHBURN,VIRGINIA,20147,US,,,,,,,Standard Delivery - To the MPoE,Standard Delivery - To the MPoE,100GIG-E,,Lumen Provided Access,Lumen Provided Access,,,,No,36,,,,
